,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,1,0.0,0.0,0.0,1062.39,353.201,0.84028,1109.37,355.095,0.7834,1123.13,431.576,0.835652,0.0,0.0,0.0,1023.09,353.153,0.814885,1017.31,445.21,0.821842,978.122,427.597,0.777498999999999,1091.74,521.595,0.632104999999999,1054.54,617.598,0.868598,1074.18,715.604,0.650338,1040.84,517.714,0.611509,1027.06,625.497,0.758486,1034.92,715.645,0.345842,0.0,0.0,0.0,999.685,323.804,0.111293999999999,1054.53,306.12,0.208063,1011.4,317.841,0.896104
1,1,0.0,0.0,0.0,1015.37,353.068,0.859534999999999,1060.37,355.147,0.780301999999999,1074.04,437.388,0.872441999999999,1040.7,443.271,0.254865,976.17,349.22,0.820369,962.429,429.609,0.910801,929.113,411.832,0.814693,1042.68,509.911,0.653373,980.129,617.55,0.772262999999999,948.701,688.125,0.764355999999999,993.793,509.908,0.682196,993.767,619.514,0.7943800000000001,1027.09,715.637,0.5403800000000001,0.0,0.0,0.0,962.398,321.759,0.132696999999999,1013.38,311.972,0.209041999999999,974.177,317.836,0.841761
2,1,933.032,333.565,0.255532,983.997,345.32,0.785756999999999,1025.05,351.218,0.811504,1032.99,425.618,0.829823,997.732,429.573,0.196275999999999,950.649,337.563,0.828812,942.839,417.867,0.823382,901.765,398.094,0.909736999999999,1005.54,496.194,0.638922,974.189,598.032,0.764799,960.437,682.317,0.650710999999999,960.485,494.219,0.658775999999999,915.393,586.26,0.908735,948.713,684.209,0.760971,0.0,0.0,0.0,931.153,321.805,0.382148,976.11,308.052,0.0700215,942.846,310.086,0.821363
3,1,917.363,335.529,0.253600999999999,968.358,343.346,0.780297,1005.5,351.106,0.773592,0.0,0.0,0.0,0.0,0.0,0.0,938.911,337.554,0.824286,931.009,415.932,0.876266999999999,893.888,398.283,0.850055999999999,993.846,494.236,0.689526,966.393,598.056,0.798951,946.763,690.095,0.762416,946.808,494.164,0.664832,901.617,582.348,0.856912,872.378,666.553,0.728615,0.0,0.0,0.0,915.464,321.897,0.37207,960.425,306.179,0.0691581,927.19,313.951,0.849996
4,1,909.542,335.534,0.107551,954.622,341.361,0.796273999999999,987.93,345.318,0.771092999999999,982.057,402.132,0.0996335,0.0,0.0,0.0,923.225,337.535,0.840395999999999,917.425,415.833,0.890012999999999,889.926,398.142,0.850502,985.911,494.159,0.651725999999999,962.412,596.067,0.807848,946.722,688.169,0.740761999999999,942.804,492.278,0.624583999999999,899.723,584.251,0.869464999999999,880.126,666.635,0.719063999999999,0.0,0.0,0.0,905.641,327.708,0.149061,948.728,308.121,0.105563999999999,915.43,319.785,0.704591
5,1,901.744,335.432,0.130196,948.709,341.367,0.848901999999999,980.084,345.302,0.831561,972.234,402.099,0.100178999999999,0.0,0.0,0.0,917.372,337.501,0.886269,917.303,415.76,0.885448,887.99,398.15,0.849943999999999,980.17,492.227,0.681508,962.36,592.184,0.803692,946.701,688.139,0.745234,933.115,492.205,0.645764,895.804,580.379,0.806392,878.208,666.571,0.743390999999999,0.0,0.0,0.0,899.821,325.739,0.190267,944.791,310.076,0.0961481,907.598,319.911,0.724753
6,1,897.8,335.459,0.115463,946.749,341.431,0.844108,980.011,349.196,0.845167999999999,974.182,407.984,0.100524,0.0,0.0,0.0,915.319,337.572,0.877317999999999,915.344,415.868,0.860193,885.968,398.165,0.814473,980.041,492.253,0.686137999999999,960.456,592.181,0.762672,946.667,688.143,0.733216,933.053,492.193,0.658173,889.977,580.372,0.799461,876.226,666.67,0.719301,0.0,0.0,0.0,895.849,325.76,0.167709,940.892,312.043,0.0833032,901.714,321.774,0.7309800000000001
7,1,0.0,0.0,0.0,946.749,339.501,0.842428,978.156,347.226,0.815159,0.0,0.0,0.0,0.0,0.0,0.0,915.34,337.505,0.868582,911.496,415.784,0.858424,883.977,396.255,0.815713999999999,980.075,492.214,0.670713,960.4,590.246,0.765409,946.653,690.087,0.724235,933.013,490.31,0.666455999999999,889.946,584.262,0.821117,876.262,668.578,0.700306,0.0,0.0,0.0,0.0,0.0,0.0,942.828,310.044,0.071936199999999,903.629,321.742,0.61867
8,1,0.0,0.0,0.0,946.706,339.484,0.836495,978.045,347.255,0.809049,972.205,407.994,0.083059399999999,0.0,0.0,0.0,915.373,337.459,0.886075,909.506,413.858,0.826295,884.017,398.146,0.743463,980.066,492.205,0.673817999999999,960.411,596.093,0.775934,944.8,692.041,0.731432,931.155,492.192,0.677810999999999,893.827,582.352,0.813506,880.114,666.681,0.727596,0.0,0.0,0.0,0.0,0.0,0.0,944.745,308.158,0.0848621,903.696,319.851,0.519859
9,2,0.0,0.0,0.0,944.822,339.421,0.819189,976.14,345.295,0.77756,972.234,404.07,0.0993027,0.0,0.0,0.0,915.319,337.405,0.890833,911.486,409.977,0.806906,883.995,392.316,0.736174999999999,980.002,490.296,0.659328999999999,960.412,596.043,0.760815,944.836,690.107,0.727383,931.138,492.173,0.67976,891.899,584.316,0.814677,876.226,668.585,0.68872,0.0,0.0,0.0,0.0,0.0,0.0,940.856,308.052,0.0751647,903.622,319.781,0.471894999999999
