,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
10,1,0.0,0.0,0.0,1025.16,376.643,0.893563,1078.02,372.761,0.817778,1089.83,443.248,0.870803999999999,1068.2,445.241,0.109754999999999,972.261,374.725,0.777243999999999,946.818,451.122,0.828581,0.0,0.0,0.0,1044.75,527.494,0.665762,1036.88,631.307,0.78949,1038.84,715.663,0.15975,980.128,523.619,0.6804,962.433,617.633,0.820211999999999,938.93,715.586,0.617543,0.0,0.0,0.0,0.0,0.0,0.0,1042.81,313.941,0.724372,995.651,317.852,0.895081999999999
11,1,0.0,0.0,0.0,982.094,366.815,0.878639,1034.88,366.849,0.856742999999999,1056.39,433.497,0.893075,1038.81,443.191,0.174868,933.069,366.807,0.873823999999999,917.371,427.568,0.839823,946.788,445.221,0.249628,1011.42,504.003,0.718685999999999,1019.28,588.298,0.802217,1027.17,680.249,0.853092,948.792,503.989,0.707318,946.812,599.941,0.848216,944.759,699.893,0.746908999999999,1025.22,310.039,0.0970221,0.0,0.0,0.0,1015.36,313.946,0.8532000000000001,974.156,308.149,0.364778999999999
12,1,0.0,0.0,0.0,1042.8,364.857,0.899964999999999,1091.73,366.767,0.874848,1111.33,431.536,0.840799,0.0,0.0,0.0,993.847,362.903,0.848055999999999,978.181,425.645,0.870173,1013.37,427.576,0.0609122,1062.39,496.158,0.683812,1056.49,584.355,0.864513,1044.7,670.507,0.820442999999999,1007.42,492.163,0.703832,993.714,570.602,0.895332999999999,978.073,662.684,0.856035,0.0,0.0,0.0,0.0,0.0,0.0,1074.18,308.084,0.804639,1027.18,308.065,0.614393
13,1,89.77,319.747,0.0984183,1052.52,359.048,0.824288999999999,1091.78,359.045,0.830206,1115.26,429.441,0.8829600000000001,0.0,0.0,0.0,1009.35,359.021,0.835907,993.746,415.848,0.800790999999999,1021.23,429.543,0.0777484,1074.06,484.42,0.713916,1072.21,570.549,0.889035999999999,1054.45,656.818,0.742935999999999,1023.11,482.458,0.704853,1027.19,562.751,0.834303999999999,1036.87,643.114,0.746217,1089.75,313.948,0.190506999999999,0.0,0.0,0.0,1081.94,312.025,0.850598,1042.83,308.146,0.318025
14,1,0.0,0.0,0.0,1054.53,355.164,0.8647100000000001,1099.52,355.181,0.817446999999999,1119.11,419.777,0.884558,1087.83,413.812,0.11354,1009.42,355.108,0.859097,995.683,413.94,0.859225999999999,1025.1,429.517,0.0911515,1081.9,478.551,0.6920200000000001,1083.93,564.743,0.796902,1078.07,650.911,0.840803,1027.03,478.537,0.778772,1032.95,558.923,0.818083999999999,1038.77,646.958,0.81723,0.0,0.0,0.0,0.0,0.0,0.0,1083.9,312.035,0.809906,1040.86,308.082,0.6231300000000001
15,1,0.0,0.0,0.0,1052.54,357.039,0.833494,1093.74,355.147,0.829330999999999,1119.11,417.829,0.893166999999999,1087.79,413.798,0.093106799999999,1007.48,357.094,0.830396999999999,993.763,415.754,0.8375,1019.29,427.578,0.0806495,1078.04,478.546,0.703376999999999,1083.9,560.845,0.803242999999999,1078.06,650.893,0.846291999999999,1025.18,478.548,0.785516999999999,1030.98,558.835,0.8350700000000001,1038.78,646.998,0.830593999999999,0.0,0.0,0.0,0.0,0.0,0.0,1079.98,315.869,0.827101,1040.69,310.073,0.755653
16,2,0.0,0.0,0.0,1046.72,355.151,0.834394,1089.88,355.119,0.880231,1109.41,415.913,0.868405,0.0,0.0,0.0,1005.51,355.137,0.829213,991.774,413.882,0.8456400000000001,1021.22,415.843,0.0828637,1076.04,478.535,0.7262000000000001,1083.85,562.749,0.791319,1079.97,650.902,0.847627999999999,1025.08,478.545,0.767013,1029.04,556.965,0.870165,1036.86,647.029,0.816488999999999,0.0,0.0,0.0,0.0,0.0,0.0,1076.06,312.01,0.882197,1038.77,310.034,0.66851
17,2,0.0,0.0,0.0,1044.7,357.081,0.860601,1089.76,355.179,0.882224999999999,1105.54,415.917,0.91461,1074.14,413.923,0.176781,1001.62,357.084,0.815978,989.858,413.917,0.823905,1023.16,415.824,0.072912499999999,1074.2,478.476,0.754632,1081.92,560.84,0.801126,1079.98,650.907,0.857012999999999,1025.02,478.573,0.744566,1027.19,562.738,0.846057,1036.83,648.979,0.831067,0.0,0.0,0.0,0.0,0.0,0.0,1074.02,312.016,0.853607999999999,1031.03,310.071,0.694475
18,2,0.0,0.0,0.0,1050.57,357.099,0.822583,1091.8,357.055,0.838525,1105.41,415.769,0.907941,1072.19,411.952,0.119777,1007.44,358.992,0.829925999999999,991.772,415.807,0.861715,1023.14,408.018,0.0665835,1074.17,476.612,0.775436999999999,1074.05,554.952,0.875903999999999,1072.19,631.359,0.862161,1025.11,478.525,0.786079,1029.01,556.943,0.878154,1036.87,646.976,0.813986,0.0,0.0,0.0,0.0,0.0,0.0,1074.03,311.966,0.867412,1032.95,310.092,0.722152
19,2,0.0,0.0,0.0,1060.46,353.218,0.885714,1101.48,357.096,0.85099,1099.54,411.922,0.230536,0.0,0.0,0.0,1025.2,353.117,0.896760999999999,999.703,411.924,0.842464999999999,1005.56,398.186,0.209983,1087.81,466.789,0.777057999999999,1074.11,547.118,0.839366,1064.3,623.485,0.727542999999999,1040.77,470.678,0.734686,1040.74,547.103,0.823608999999999,1042.73,643.114,0.788092999999999,0.0,0.0,0.0,0.0,0.0,0.0,1079.99,317.917,0.731015,1042.8,315.897,0.851078
