,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
13,1,0.21,351.259,0.969915,1166.15,404.072,0.76348,1152.48,400.121,0.718828,1125.03,470.671,0.5422100000000001,1074.14,447.146,0.872050999999999,1176.0,413.791,0.774287,1154.42,509.87,0.725066,1119.23,586.265,0.750634999999999,1132.86,572.539,0.406088,1074.1,680.3,0.0629399,0.0,0.0,0.0,1150.56,584.346,0.620444,1115.23,680.301,0.181325,0.0,0.0,0.0,1119.22,339.469,0.827392,1134.85,339.404,0.9425100000000001,0.0,0.0,0.0,1168.14,339.463,0.786238999999999
14,1,66.26,351.12,0.870580999999999,1095.63,400.126,0.838617,1058.49,394.255,0.851310999999999,1044.71,464.802,0.661536,1007.5,455.005,0.7634000000000001,1130.91,406.066,0.717658999999999,1125.07,504.023,0.75897,1121.19,586.346,0.772948,1032.96,554.953,0.710081,1025.1,662.682,0.769157,0.0,0.0,0.0,1085.83,566.689,0.676558,1078.06,666.608,0.634401,0.0,0.0,0.0,1058.48,337.534,0.927909,1074.19,337.48,0.909690999999999,0.0,0.0,0.0,1107.42,337.519,0.7931900000000001
15,1,27.11,351.158,0.947004,1058.39,398.222,0.920567999999999,1015.37,392.304,0.82481,1009.37,462.883,0.752725,978.114,453.032,0.816448,1101.47,402.167,0.760965999999999,1101.55,496.205,0.803711,1093.75,584.332,0.7383700000000001,1003.59,549.083,0.67483,1011.45,660.693,0.736123,0.0,0.0,0.0,1058.37,556.885,0.729013999999999,1058.37,658.749,0.567164999999999,0.0,0.0,0.0,1025.08,337.574,0.889436,1040.7,337.563,0.933388,0.0,0.0,0.0,1068.22,337.57,0.770153
16,1,17.27,353.149,0.902566,1050.56,398.248,0.880120999999999,1009.42,394.295,0.889149,999.704,462.938,0.712433,978.102,453.021,0.847777999999999,1089.81,402.146,0.793902,1095.68,498.138,0.768235,1095.62,586.3,0.783134999999999,997.721,552.929,0.7055,1011.39,662.669,0.734439,0.0,0.0,0.0,1056.5,556.898,0.729695,1058.4,658.794,0.621567,0.0,0.0,0.0,1011.39,343.329,0.903710999999999,1027.07,343.32,0.911547999999999,0.0,0.0,0.0,1056.49,341.405,0.798697
17,1,17.28,353.212,0.892860999999999,1054.5,398.248,0.896569,1011.37,394.298,0.889502999999999,999.656,464.874,0.723715999999999,978.092,447.272,0.857661999999999,1091.78,402.135,0.763328,1093.72,500.063,0.760975,1095.64,586.332,0.784032,997.739,550.994,0.672176,1011.37,654.853,0.686085,0.0,0.0,0.0,1056.44,556.919,0.695969,1058.37,652.88,0.548511,0.0,0.0,0.0,1011.43,345.283,0.862885999999999,1027.06,345.289,0.902874,0.0,0.0,0.0,1056.51,341.384,0.80461
18,2,23.18,353.185,0.9480329999999991,1056.47,398.262,0.922962,1011.5,396.165,0.893353,1007.46,466.773,0.692187,980.071,455.011,0.80817,1095.69,402.092,0.7577,1101.46,496.139,0.794593999999999,1097.61,586.269,0.760072,1007.44,554.903,0.694255,1011.45,658.784,0.618123,0.0,0.0,0.0,1058.51,558.905,0.663995,1058.38,660.735,0.531932,0.0,0.0,0.0,1013.39,343.357,0.858301,1029.1,341.424,0.864993999999999,0.0,0.0,0.0,1060.44,339.419,0.806735
19,2,27.0,353.116,0.991297,1058.35,398.254,0.9180900000000001,1013.45,396.192,0.860791,1011.43,464.799,0.708094,982.024,456.932,0.760903,1099.54,400.26,0.7691100000000001,1103.51,496.217,0.804009,1103.5,584.288,0.774162,1009.42,552.936,0.706666999999999,1013.37,656.829,0.667223999999999,0.0,0.0,0.0,1062.32,556.944,0.650828,1062.32,656.787,0.479824,0.0,0.0,0.0,1019.28,341.438,0.852699,1038.79,339.505,0.886478999999999,0.0,0.0,0.0,1066.24,339.475,0.771617999999999
20,2,25.16,353.174,0.975548,1058.41,398.248,0.9278000000000001,1017.32,396.19,0.837295,1011.42,468.762,0.690835,989.878,455.009,0.792762,1101.46,402.1,0.77087,1105.44,496.129,0.820703,1103.51,584.288,0.777775,1009.43,547.071,0.711754999999999,1011.51,654.86,0.7017369999999991,0.0,0.0,0.0,1060.46,554.964,0.665315,1062.38,654.827,0.5713,0.0,0.0,0.0,1019.24,343.367,0.8239000000000001,1036.83,343.383,0.847973,0.0,0.0,0.0,1060.44,343.379,0.7492500000000001
21,2,25.16,355.152,0.929848999999999,1058.5,398.236,0.914122,1021.21,394.284,0.822855,1013.36,464.844,0.714214999999999,983.953,447.284,0.836702,1103.42,402.094,0.787909,1103.53,496.226,0.82398,1103.45,586.294,0.790126999999999,1009.43,549.028,0.710591,1011.51,656.838,0.722781999999999,0.0,0.0,0.0,1060.43,556.856,0.676211999999999,1060.4,654.877,0.60048,0.0,0.0,0.0,1019.27,349.211,0.799574,1034.95,349.18,0.848838,0.0,0.0,0.0,1062.37,347.241,0.767258
22,2,25.21,355.149,0.927925,1058.51,398.219,0.908185999999999,1023.15,394.29,0.84245,1011.5,462.953,0.749334,989.825,447.254,0.858981,1101.56,400.256,0.7784500000000001,1103.52,498.111,0.816218999999999,1103.43,588.251,0.796048,1009.46,547.115,0.708503,1011.51,654.884,0.693159,1007.43,715.665,0.0597923,1060.43,556.859,0.676574,1058.5,654.88,0.53502,0.0,0.0,0.0,1021.19,349.219,0.798033,1036.87,349.22,0.861306,0.0,0.0,0.0,1060.42,347.222,0.7577200000000001
